,Chao1 kmers ITS,Chao1 OTUs ITS,Chao1 ASVs ITS,16S_id,Chao1 kmers,Chao1 OTUs,Chao1 ASVs,identifier,row,column,temperature,day,replicate,well,DNA yield,DNA_total_yield_per_1g,pH,TTA,estimate_bact,estimate_bact_CFUs,LAB CFUs,LAB_counts,bac_diff,yeast CFUs,mannitol,glucose,fructose,sucrose,maltose,succinic acid,lactic acid,acetic acid,ethanol,Observed features ASVs,Observed features OTUs,Observed features kmers,Shannon ASVs,Evenness ASVs,Simpson ASVs,Shannon OTUs,Evenness OTUs,Simpson OTUs,Shannon kmers,Evenness kmers,Simpson kmers,color,color2,Observed features ASVs ITS,Observed features OTUs ITS,Observed features kmers ITS,Shannon ASVs ITS,Evenness ASVs ITS,Simpson ASVs ITS,Shannon OTUs ITS,Evenness OTUs ITS,Simpson OTUs ITS,Shannon kmers ITS,Evenness kmers ITS,Simpson kmers ITS
366292_205-LP4-ITS-0705,2394,17.6,19,366294_205-LP4-16S-0705,588,4,3,W04.02.07,A,5,4,7,2,A05,4.352863796,2901.908472,3.64,11.9,7.85E+12,12.89509477,9.06845,1170711811,3.826644768,6.7708,1.633835638,0.440029892,0.035847975,0.030623755,3.105784409,6.77026774,134.4116856,26.19310345,290.4391993,3,4,588,0.094788745,0.059805039,0.020886427,0.251341588,0.125670794,0.061814404,7.998387929,0.869420956,0.995865827,#6b88ad,#9ec8ff,18,17,2394,1.009701554,0.24213902,0.367415457,0.297047721,0.072672886,0.06225116,8.365309634,0.745225394,0.996680644
366292_256-LP4-ITS-0756,2531,19.5,18,366294_256-LP4-16S-0756,426,5,3,W04.03.21,D,11,4,21,3,D11,6.997509039,4665.00486,3.4,12.42,8.90E+11,11.94941587,9.36607,2323111207,2.583345868,6.97857,1.809359919,0.247531612,0.013477955,0.007829082,0.165047325,6.320913687,137.5750515,30.00827586,312.8359742,3,5,426,0.312545773,0.197194428,0.09998615,0.478748379,0.206185704,0.134819945,8.106868201,0.928121089,0.99609333,#91b8eb,#9ec8ff,18,18,2531,1.011787826,0.242639334,0.369945866,0.296983192,0.071220272,0.060074024,8.381610198,0.741375108,0.996690657
366292_175-LP4-ITS-0675,2664,20,20.66666667,366294_175-LP4-16S-0675,361,5,2,W17.03.01,C,1,17,1,3,C01,5.055479774,3370.319007,3.56,10.61,6.39E+12,12.8056918,9.97873,9522039967,2.826961797,7.41102,1.670275606,0.157256306,0.040323452,0.018308007,0.08412372,8.748923423,229.2893628,38.83586207,433.3789293,2,4,361,0.066633733,0.066633733,0.015705822,0.136859482,0.068429741,0.031204986,7.952775216,0.936077086,0.995825381,#332615,#fdc067,19,18,2664,0.989344336,0.232900475,0.382342343,0.236842255,0.056797725,0.045728462,8.332560445,0.732250935,0.996654135
366292_186-LP4-ITS-0686,2564,21.75,21,366294_186-LP4-16S-0686,734,5,11,W17.02.05,F,2,17,5,2,F02,6.199303473,4132.867949,3.61,13.2,2.78E+12,12.44406354,8.84867,705781060.5,3.595393542,6.8078,1.586728142,0.067266335,0.026897023,0,0.037570471,7.701179554,211.7662873,70.95724138,387.50752,8,5,734,1.048720194,0.349573398,0.420969529,0.936512311,0.403333899,0.393185596,8.850571224,0.929717375,0.997647088,#846436,#fdc067,19,18,2564,0.966072601,0.227422101,0.3677392,0.243196172,0.058321474,0.048030739,8.32702952,0.735331752,0.996651697
366292_189-LP4-ITS-0689,2540,17.5,26,366294_189-LP4-16S-0689,708,5,6,W17.02.10,A,3,17,10,2,A03,4.966718015,3311.144515,3.66,15.42,3.53E+12,12.54752981,8.45939,287998350.3,4.088139807,4.60206,1.389462367,0.102739005,0.032248456,0,0.054222296,9.442426512,201.0072587,142.3944828,393.8660421,5,4,708,1.087027903,0.468157436,0.500110803,1.030453824,0.515226912,0.493587258,8.931734947,0.943399564,0.997883671,#c0924e,#fdc067,19,16,2540,0.995611138,0.234375736,0.378308783,0.236729536,0.059182384,0.046234286,8.342392878,0.73757214,0.996662297
366292_190-LP4-ITS-0690,2574,18.16666667,21,366294_190-LP4-16S-0690,708,8,8,W17.03.02,B,3,17,2,3,B03,6.019504012,4013.001671,3.54,11.85,8.06E+12,12.90614479,10.05161,11261856780,2.854534794,7.47842,1.648383787,0.095805959,0.016989143,0,0.006714627,6.997191537,133.9958778,30.05241379,362.3586197,5,5,708,0.145399252,0.062620049,0.031246537,0.145399252,0.062620049,0.031246537,8.039605665,0.849169901,0.995911178,#47361d,#fdc067,19,18,2574,1.02109823,0.240375625,0.375821905,0.364315722,0.087367452,0.077109701,8.364473794,0.738272211,0.996679574
366292_198-LP4-ITS-0698,2749,26.5,21.5,366294_198-LP4-16S-0698,598,3,4,W04.01.03 ,B,4,4,3,1,B04,6.282537944,4188.357582,3.68,10.59,1.33E+13,13.12245508,9.30815,2033059083,3.814305084,7.3196,1.717165966,0.214523755,0.015318201,0,0.397240918,14.92229919,440.1147056,100.5848276,971.9709445,4,3,598,0.121092333,0.060546167,0.026080332,0.131596324,0.083028036,0.031191136,7.975433521,0.86463921,0.995840045,#39485c,#9ec8ff,19,16,2749,0.98126672,0.230998932,0.366068346,0.247779923,0.061944981,0.052285349,8.35453541,0.73127013,0.996671272
366292_226-LP4-ITS-0726,2826,22,21.5,366294_226-LP4-16S-0726,718,6,6,W04.03.14,F,7,4,14,3,F07,10.07653418,6717.687771,3.6,12.11,7.48E+12,12.87409838,8.72578,531838778.1,4.148318379,6.80943,1.671923617,0.219301607,0.026492169,0.004486666,0.062845763,7.949822131,234.2665113,43.48689655,531.2075237,6,5,718,0.595781018,0.230479559,0.163822715,0.404352464,0.174145128,0.115429363,8.23774911,0.868242833,0.996219215,#85a8d6,#9ec8ff,19,17,2826,1.030681044,0.242631505,0.38019096,0.208511566,0.051012468,0.040672306,8.3814289,0.731073789,0.99669338
366292_229-LP4-ITS-0729,2651,20,20.2,366294_229-LP4-16S-0729,708,4,5,W04.03.07,A,8,4,7,3,A08,6.655792522,4437.193905,3.62,11.49,8.01E+12,12.90380598,8.85814,721339974.2,4.045665982,6.79019,1.373204964,0.339688919,0.008700679,0.059380576,2.687860643,6.200337016,88.6835738,21.68275862,282.6580305,5,4,708,0.30526974,0.131472521,0.076997515,0.159169703,0.079584852,0.036371191,8.130751158,0.858796991,0.996050744,#6b88ad,#9ec8ff,19,18,2651,0.969662661,0.228267233,0.359745314,0.288763753,0.069249148,0.059072677,8.345189943,0.733815901,0.996663654
366292_237-LP4-ITS-0737,2537,18.2,19.25,366294_237-LP4-16S-0737,653,5,4,W04.01.02,A,9,4,2,1,A09,3.321536686,2214.357237,3.67,9.69,1.55E+13,13.19018878,9.86116,7263735140,3.329028778,7.45165,0.662366702,0.097517972,0.007846805,0,0.216395132,6.252761655,55.27556233,19.41793103,242.6217538,4,4,653,0.157879637,0.078939819,0.036357341,0.119105787,0.059552894,0.026066482,8.036494001,0.859431747,0.995914376,#2c3847,#9ec8ff,19,18,2537,1.065320526,0.250785947,0.367649645,0.357734788,0.085789262,0.073388054,8.417993861,0.744368422,0.996725341
366292_258-LP4-ITS-0758,2541,20.5,21.5,366294_258-LP4-16S-0758,708,5,5,W04.01.07,F,11,4,7,1,F11,4.359691623,2906.460356,3.71,9.43,6.79E+11,11.83183715,9.21728,1649225344,2.614557153,6.82868,1.765787851,0.460719753,0.040433866,0.100332697,2.850179449,6.964238907,145.1635451,26.34206897,316.0639904,5,5,708,0.43160951,0.185884098,0.120703699,0.37213305,0.160268981,0.105637119,8.215575737,0.867756445,0.996196727,#6b88ad,#9ec8ff,19,18,2541,0.987272475,0.232412741,0.369824654,0.228079243,0.054696246,0.045191004,8.341218791,0.737431312,0.996665259
366292_234-LP4-ITS-0734,2580,24,22,366294_234-LP4-16S-0734,708,4,5,W17.02.04,F,8,17,4,2,F08,10.34249432,6894.994489,3.57,12.02,4.38E+12,12.64119044,9.30103,2000000020,3.340160437,7.32222,1.320702459,0.066373902,0.012314921,0,0.050853754,7.981276914,188.6943274,44.6262069,406.3607177,5,4,708,1.321291477,0.569049266,0.476409939,1.25756972,0.62878486,0.46465374,8.947217986,0.945034934,0.997595242,#6f542d,#fdc067,20,21,2580,1.018540531,0.235668088,0.371770238,0.304403712,0.069303669,0.060129157,8.374901112,0.738973468,0.996688371
366292_263-LP4-ITS-0763,2807,19,21.5,366294_263-LP4-16S-0763,708,5,5,W17.03.07,C,12,17,7,3,C12,7.626319452,5084.211697,3.61,13.09,4.72E+11,11.67394476,9.0809,1204758503,2.593044759,7.07578,1.522104963,0.087937983,0.010489397,0,0,8.589402734,364.2243929,53.31310345,569.7125188,5,5,708,1.358890509,0.585242287,0.543223874,1.308807091,0.563672533,0.521745152,8.73688482,0.922818845,0.99738589,#ac8346,#fdc067,20,17,2807,1.032493593,0.238896523,0.372780525,0.272038561,0.066554381,0.055226186,8.392649241,0.732674465,0.996699653
366292_267-LP4-ITS-0767,2956,23.25,23.33333333,366294_267-LP4-16S-0767,708,5,5,W17.01.03,G,12,17,3,1,G12,3.978958948,2652.638636,3.54,11.23,6.33E+11,11.80160194,9.44876,2810347346,2.352841945,7.51723,1.390625997,0.060733972,0.010202319,0,0.06162186,8.557199026,274.5102608,41.26344828,482.9191154,5,5,708,1.088765882,0.468905942,0.411398892,1.159804841,0.499500757,0.438490305,8.563035751,0.904456328,0.997026814,#5b4525,#fdc067,20,18,2956,1.086749832,0.251450234,0.383939846,0.301695098,0.072350246,0.06398031,8.42753507,0.730958483,0.996732017
366292_183-LP4-ITS-0683,2642,21.75,21.42857143,366294_183-LP4-16S-0683,678,4,4,W04.02.06,C,2,4,6,2,C02,6.215235071,4143.489012,3.69,10.55,8.13E+12,12.91016265,8.82995,676005142.9,4.080212655,6.94645,1.889722714,0.256686633,0.006669048,0.025775747,0.074242664,8.036697248,164.8749888,34.63448276,431.9742135,4,4,678,0.161156249,0.080578125,0.036385042,0.140136094,0.070068047,0.031232687,8.043391376,0.855212163,0.9959191,#5f7899,#9ec8ff,21,18,2642,1.021113994,0.232477277,0.365075936,0.312389907,0.074914994,0.066724596,8.37864753,0.737075906,0.996693391
366292_207-LP4-ITS-0707,2907,18.5,28,366294_207-LP4-16S-0707,708,4,5,W04.02.03,C,5,4,3,2,C05,4.634430403,3089.619496,3.65,10.11,5.91E+12,12.77153824,9.37611,2377442379,3.395428243,7.43527,1.564758377,0.236895275,0.026845496,0,0.270325488,7.348436622,107.9146877,30.13517241,368.2905551,5,4,708,0.396672958,0.170837744,0.110734072,0.325659893,0.162829946,0.091436289,8.294306847,0.876072287,0.996297176,#39485c,#9ec8ff,21,16,2907,0.982887891,0.223774331,0.371177633,0.228651898,0.057162974,0.048873633,8.344547148,0.725277569,0.996660455
366292_218-LP4-ITS-0718,2990,26,23,366294_218-LP4-16S-0718,708,5,5,W30.02.03,F,6,30,3,2,F06,8.344867029,5563.243295,3.67,12.98,3.89E+12,12.5900936,8.948889386,888974668.8,3.641204212,6.17609,1.389016959,0.077392711,0.004409227,0,0,6.725332335,173.443857,73.40965517,390.2081458,5,5,708,1.608340788,0.692674675,0.620747922,1.563455825,0.673343773,0.59267313,9.18697747,0.970359128,0.998135424,#2a0a27,#751c6d,21,22,2990,1.026823362,0.23377713,0.373919114,0.256174202,0.057445483,0.050161174,8.3851971,0.726247021,0.996693483
366292_259-LP4-ITS-0759,2900,22.75,24.33333333,366294_259-LP4-16S-0759,678,5.5,4,W04.02.05,G,11,4,5,2,G11,2.366941353,1577.960508,3.68,9.99,4.04E+11,11.60675745,8.76583,583216765.5,2.840927447,6.26128,1.721102262,0.557175306,0.068199485,0.069739054,4.473165396,6.650439993,124.8642351,25.20551724,286.2804308,4,5,678,0.313792762,0.156896381,0.09112997,0.362957081,0.156317106,0.105429363,8.139513363,0.865432316,0.996091843,#526885,#9ec8ff,21,19,2900,1.00503773,0.22881719,0.362145056,0.296425777,0.06978127,0.059677671,8.378784983,0.728473621,0.996685093
366292_262-LP4-ITS-0762,2912,23.75,21.5,366294_262-LP4-16S-0762,718,5,6,W17.03.04,B,12,17,4,3,B12,7.26607026,4844.045629,3.56,11.64,1.12E+12,12.04907841,9.10149,1263252016,2.947588406,7.34242,1.610741217,0.073859407,0.015082649,0,0.022917313,8.037446171,260.2186576,37.22758621,440.6892573,6,5,718,1.211627457,0.468721483,0.443744576,1.003884324,0.432349445,0.37200831,8.655200008,0.912241351,0.997150141,#6f542d,#fdc067,21,20,2912,1.089909073,0.24813987,0.38393966,0.366422472,0.084782177,0.077202974,8.422807994,0.731921994,0.996726471
366292_265-LP4-ITS-0765,2947,24,23,366294_265-LP4-16S-0765,708,5,5,W30.03.05,E,12,30,5,3,E12,13.22058624,8813.721957,3.71,12.71,6.88E+11,11.83743565,8.139867245,137996237.4,3.697568406,4.91987,1.588966318,0.099023573,0.011497852,0,0,6.680396929,139.7813424,34.56551724,351.3939327,5,5,708,1.568481878,0.675508377,0.596252444,1.58584458,0.682986085,0.594286274,8.832317772,0.932898791,0.99752153,#3d0f39,#751c6d,21,21,2947,1.081683613,0.246267177,0.377717224,0.400458846,0.091172565,0.086082218,8.421898348,0.730748412,0.996730337
366292_211-LP4-ITS-0711,3014,20.75,25,366294_211-LP4-16S-0711,728,5,7,W30.01.01 ,G,5,30,1,1,G05,7.236483007,4824.320799,3.6,10.94,3.24E+12,12.51036133,9.59352,3922112079,2.916841335,7.42267,1.587507606,0.056757488,0.026205091,0,0,8.263621045,190.950802,35.68827586,417.0656616,7,5,728,0.907074366,0.323106408,0.269473684,0.611715641,0.263451587,0.177119114,8.41151656,0.884696912,0.996548855,#170616,#751c6d,22,17,3014,1.048617038,0.235145895,0.373547555,0.24592479,0.060165633,0.050663655,8.402093258,0.726984179,0.996708568
366292_242-LP4-ITS-0742,2836,20,23.42857143,366294_242-LP4-16S-0742,473,2,2,W17.01.04,F,9,17,4,1,F09,11.23433866,7489.557237,3.58,11.69,4.95E+12,12.69466486,9.46181,2896076303,3.232854855,7.36173,1.323246854,0.065912509,0.009996212,0,0.036997819,6.789739749,124.374944,30.04689655,367.442627,2,2,473,0.998000884,0.998000884,0.498614958,0.998000884,0.998000884,0.498614958,8.846108743,0.995544791,0.99777429,#6f542d,#fdc067,22,18,2836,1.044589501,0.234242744,0.378476938,0.312378522,0.074912264,0.065546276,8.391277289,0.731607614,0.996703074
366292_253-LP4-ITS-0753,3044,39,24,366294_253-LP4-16S-0753,708,5,5,W30.02.02,A,11,30,2,2,A11,5.671935071,3781.289102,3.6,11.9,8.85E+11,11.9471763,9.967106866,9270579147,1.980069438,6.96824,2.078475622,0.101530883,0.022178635,0,0,56.76240404,557.5947666,112.24,916.0844586,5,5,708,0.966440221,0.416223148,0.30001385,0.933561974,0.402063258,0.309326724,8.655069191,0.914177206,0.99693381,#21081f,#751c6d,22,21,3044,1.172981599,0.26303388,0.409389582,0.338274222,0.077014976,0.071205897,8.472791086,0.732196008,0.996774741
366292_185-LP4-ITS-0685,3043,29,26.5,366294_185-LP4-16S-0685,688,4,5,W17.03.03.,E,2,17,3,3,E02,6.621328249,4414.217729,3.56,11.41,6.17E+12,12.7906243,9.26709,1849651888,3.523534302,7.47007,1.54616258,0.068759793,0.009952046,0,0.036436395,8.736191724,263.3175016,40.58758621,494.2042181,5,4,688,0.360018243,0.155051418,0.091745152,0.331701968,0.165850984,0.086745152,8.088893258,0.858122859,0.995977282,#5b4525,#fdc067,23,17,3043,0.955976405,0.211332665,0.353912988,0.225351204,0.055132294,0.046192596,8.338274592,0.72060097,0.996653781
366292_203-LP4-ITS-0703,2997,19,32,366294_203-LP4-16S-0703,588,3,3,W17.02.01 ,G,4,17,1,2,G04,5.775653024,3850.434387,3.56,10.4,1.98E+13,13.29594735,9.83824,6890329648,3.457707353,7.30831,1.878771237,0.146644252,0.020691716,0.033634941,0.076016762,13.84759408,482.6973743,90.6262069,777.2546322,3,3,588,0.13288639,0.083841977,0.031204986,0.073738216,0.046523635,0.015692521,8.034048383,0.873297231,0.995910777,#332615,#fdc067,23,16,2997,1.003332656,0.221801462,0.359937425,0.296023081,0.07400577,0.062865342,8.375666924,0.725209708,0.99668985
366292_248-LP4-ITS-0748,3091,18.42857143,27.2,366294_248-LP4-16S-0748,718,2,6.5,W04.03.06,D,10,4,6,3,D10,6.303996831,4202.663503,3.69,10.8,1.43E+12,12.1554575,8.92221,836007165.8,3.233247501,6.86213,1.207713505,0.153219111,0,0,0.084539173,7.067590339,109.335962,29.41793103,350.1107086,6,2,718,0.305379415,0.118136884,0.07324138,0.132480994,0.132480994,0.036163435,8.081129119,0.851735389,0.99597415,#5f7899,#9ec8ff,23,18,3091,1.010095305,0.223296445,0.357261028,0.258091196,0.061893486,0.051812911,8.388327872,0.723514806,0.99669463
366292_261-LP4-ITS-0761,2951,25,27.2,366294_261-LP4-16S-0761,708,5,5,W17.03.05,A,12,17,5,3,A12,8.411844767,5607.895109,3.63,13.11,1.08E+12,12.03452017,8.94704,885197135.7,3.08748017,6.58927,1.54095687,0.069767574,0.029856137,0,0,7.078075267,165.2495743,53.35724138,341.1033532,5,5,708,1.305871406,0.562408203,0.465020433,1.390285995,0.598763587,0.502534626,8.957808676,0.946153558,0.997605876,#846436,#fdc067,23,22,2951,1.174264213,0.259588401,0.400528967,0.497661739,0.111597572,0.111132208,8.474593612,0.735195826,0.996778117
366292_266-LP4-ITS-0766,2999,30,23.6,366294_266-LP4-16S-0766,708,5,5,W30.01.03,F,12,30,3,1,F12,12.44286416,8295.240698,3.61,12.07,1.21E+12,12.08155252,8.61159,408874475.5,3.469962523,6.14613,1.557425842,0.089965687,0.005947672,0,0,8.722711103,220.8746303,39.09517241,431.9285688,5,5,708,1.688277099,0.72710137,0.640817175,1.6831306,0.724884893,0.63432133,8.799434295,0.929425529,0.997535304,#2a0a27,#751c6d,23,23,2999,1.181984744,0.261295138,0.398550228,0.42615127,0.094207015,0.091506909,8.484398338,0.734563038,0.996777893
366292_236-LP4-ITS-0736,3324,23.33333333,28.2,366294_236-LP4-16S-0736,718,5,6.5,W04.01.10,H,8,4,10,1,H08,6.846321427,4564.213144,3.57,11.09,4.24E+12,12.62693134,8.25864,181401135,4.368291345,5.66276,1.399896057,0.186566943,0.001825523,0,0.079508817,6.926792735,106.8142307,26.6262069,347.5417475,6,5,718,0.36328454,0.140537644,0.092186669,0.335572165,0.144523065,0.086703601,8.096310855,0.853335514,0.996010919,#7898c2,#9ec8ff,24,20,3324,1.136270444,0.247825461,0.393100508,0.42666851,0.098721797,0.09338057,8.453679423,0.722616705,0.99675466
366292_181-LP4-ITS-0681,3357,23.5,26.42857143,366294_181-LP4-16S-0681,708,5,5,W30.03.03,A,2,30,3,3,A02,4.985900959,3323.933142,3.6,12.13,1.63E+12,12.21302342,8.646015731,442604404.1,3.567007685,6.21194,1.479373603,0.086948416,0.010577729,0,0.255122135,7.924358734,173.391881,33.60275862,392.9631012,5,5,708,0.93121254,0.401051412,0.335057539,1.112694946,0.479211629,0.409487535,8.581998487,0.906459235,0.996950748,#2a0a27,#751c6d,25,22,3357,1.155855492,0.248899932,0.388582415,0.45937509,0.103012027,0.101150936,8.474403277,0.723506746,0.996769267
366292_251-LP4-ITS-0751,3265,16.25,34,366294_251-LP4-16S-0751,708,5,8,W04.03.01 ,G,10,4,1,3,G10,7.908211194,5272.139478,3.68,9.95,1.92E+12,12.28423667,10.18992,15485313426,2.094316668,7.53288,1.54632404,0.326077807,0.06050726,0.005796532,0.985242365,7.391125257,108.2175822,29.82068966,352.5989681,5,4,708,0.163502382,0.070416643,0.036465912,0.119105787,0.059552894,0.026066482,8.027577437,0.847899439,0.995904663,#202833,#9ec8ff,25,16,3265,1.052331874,0.226607335,0.377837352,0.284167218,0.071041805,0.057944128,8.393120107,0.719028145,0.996696322
366292_260-LP4-ITS-0760,3137,23.5,32,366294_260-LP4-16S-0760,708,5,5,W30.02.01,H,11,30,1,2,H11,6.942236149,4628.156275,3.57,11.1,1.09E+12,12.03564183,9.794343732,6227930135,2.241298098,7.34279,1.592290178,0.06523256,0.087823859,0,0,7.55139487,169.7768617,34.02758621,416.5040924,5,5,708,1.16145735,0.500212454,0.420387812,1.084857543,0.467222713,0.387489152,8.67546022,0.916330975,0.99713956,#170616,#751c6d,25,23,3137,1.222896034,0.263336327,0.410682004,0.527800323,0.116678036,0.11731581,8.511061879,0.732753977,0.996811714
366292_264-LP4-ITS-0764,3434,30.2,25.375,366294_264-LP4-16S-0764,708,5,5,W04.03.04,D,12,4,4,3,D12,8.220665593,5480.442358,3.71,9.87,8.58E+11,11.93373878,9.23835,1731210988,2.695388782,7.30103,1.168406222,0.152320608,0,0,0.115361332,6.997940461,97.65570392,26.15172414,292.8391457,5,5,708,0.582803245,0.250999696,0.180380254,0.62005813,0.267044501,0.197243767,8.323715902,0.879178569,0.996399872,#465870,#9ec8ff,25,26,3434,1.233052589,0.265523422,0.405510078,0.48794437,0.103808239,0.102249586,8.521964946,0.725540715,0.996817693
xxxx,,,,366294_196-LP4-16S-0696,718,5,6,W30.03.07,H,3,30,7,3,H03,1.280016218,853.3439319,3.8,14.04,5.49E+11,11.73989103,7.991860987,98143374.63,3.74803004,4.98345,1.412295111,0.129657681,0.016760953,0,0,15.61655121,186.0148759,61.27172414,403.235335,6,5,718,1.563759288,0.60494467,0.59566482,1.503932926,0.647708656,0.591315789,9.109324826,0.960105229,0.998000511,#50134a,#751c6d,,,,,,,,,,,,
