,Chao1 kmers ITS,Chao1 OTUs ITS,Chao1 ASVs ITS,16S_id,Chao1 kmers,Chao1 OTUs,Chao1 ASVs,identifier,row,column,temperature,day,replicate,well,DNA yield,DNA_total_yield_per_1g,pH,TTA,estimate_bact,estimate_bact_CFUs,LAB CFUs,LAB_counts,bac_diff,yeast CFUs,mannitol,glucose,fructose,sucrose,maltose,succinic acid,lactic acid,acetic acid,ethanol,Observed features ASVs,Observed features OTUs,Observed features kmers,Shannon ASVs,Evenness ASVs,Simpson ASVs,Shannon OTUs,Evenness OTUs,Simpson OTUs,Shannon kmers,Evenness kmers,Simpson kmers,color,color2,Observed features ASVs ITS,Observed features OTUs ITS,Observed features kmers ITS,Shannon ASVs ITS,Evenness ASVs ITS,Simpson ASVs ITS,Shannon OTUs ITS,Evenness OTUs ITS,Simpson OTUs ITS,Shannon kmers ITS,Evenness kmers ITS,Simpson kmers ITS
366292_182-LP4-ITS-0682,2253,18.75,16.2,366294_182-LP4-16S-0682,663,5,6,W17.01.06,B,2,17,6,1,B02,3.352099343,2234.732336,3.62,13.06,2.01E+12,12.30342935,8.91803,827999357.9,3.385399347,6.70927,1.272937985,0.061905669,0.02499789,0,0.03764907,6.710353866,109.5976342,52.13793103,291.663483,5,5,663,1.015785535,0.437475018,0.439113573,1.023315249,0.440717889,0.423876191,8.886093357,0.948065858,0.997735628,#98733e,#fdc067,15,15,2253,0.896601299,0.229492298,0.348443331,0.203118097,0.051989707,0.040643303,8.291396242,0.744448779,0.996621844
366292_194-LP4-ITS-0694,1945,16,20,366294_194-LP4-16S-0694,658,8,5,W04.02.21,F,3,4,21,2,F03,3.340394495,2226.929107,3.41,12.34,2.01E+12,12.30242618,9.32317,2104602103,2.979256177,6.92477,1.775158128,0.236731359,0.017217334,0.002664899,0.060083559,6.639955065,116.6878753,32.24827586,374.6043352,5,5,658,0.326140644,0.14046113,0.081869806,0.145399252,0.062620049,0.031246537,8.1192836,0.867264726,0.996021897,#91b8eb,#9ec8ff,15,14,1945,0.911590001,0.233328776,0.357126844,0.202923187,0.053297681,0.041188937,8.296596986,0.759375374,0.996630359
366292_202-LP4-ITS-0702,2245,8.5,43,366294_202-LP4-16S-0702,708,5,5,W17.02.21,F,4,17,21,2,F04,28.1237832,18749.18411,3.51,14.27,3.01E+12,12.47839332,9.09926,1256782139,3.37913332,5.30103,1.212379157,0.140640064,0.02364347,0,0,6.358359858,113.4223497,41.52,320.4312219,5,5,708,1.340154874,0.577173288,0.55533241,1.307968627,0.563311426,0.546786704,9.063241735,0.957289748,0.998006598,#e9b15f,#fdc067,15,8,2245,0.84790168,0.217027239,0.33666351,0.108218695,0.036072898,0.021017893,8.274362765,0.743261888,0.996606368
366292_214-LP4-ITS-0714,2176,13,15,366294_214-LP4-16S-0714,708,5,5,W30.03.04,B,6,30,4,3,B06,7.819449435,5212.964986,3.68,12.05,2.68E+12,12.42848468,8.450545719,282192663.7,3.977938962,5.12605,2.003557944,0.125499068,0.028494356,0,0,35.63976783,618.5446725,104.7889655,818.0452056,5,5,708,1.69764255,0.73113485,0.601426593,1.676683335,0.722108208,0.58962515,9.118399648,0.963115711,0.997902608,#330c30,#751c6d,15,12,2176,0.936533468,0.239713257,0.363792669,0.168601528,0.047030207,0.032852191,8.319260306,0.750330389,0.99664331
366292_219-LP4-ITS-0719,2035,15,15.2,366294_219-LP4-16S-0719,603,4,3,W04.01.06,G,6,4,6,1,G06,6.668147639,4445.430648,3.7,9.96,6.35E+12,12.8028004,8.89818,791006404.8,3.904620398,6.76042,1.396188033,0.374572706,0.032704837,0,3.051191573,6.341883542,106.2837172,23.96689655,277.0424367,3,4,603,0.092802199,0.058551668,0.020872576,0.140136094,0.070068047,0.031232687,7.990245991,0.865118419,0.995858924,#5f7899,#9ec8ff,15,14,2035,0.916000875,0.234457775,0.345081733,0.196931891,0.05172407,0.040079781,8.328269128,0.757748227,0.996649175
366292_230-LP4-ITS-0730,2279,13.33333333,15.25,366294_230-LP4-16S-0730,451,6,3,W04.03.10,B,8,4,10,3,B08,5.827349434,3884.898651,3.6,11.07,5.87E+12,12.76833984,8.08027,120301211.2,4.688069838,5.74819,1.472336152,0.212016444,0.000890679,0,0.064002296,6.613742745,108.1225916,30.18758621,343.5227919,3,5,451,0.201116357,0.126890294,0.051578947,0.266009839,0.114564202,0.066731302,8.042641594,0.912176084,0.995947613,#7898c2,#9ec8ff,15,13,2279,0.984008121,0.251864775,0.379673143,0.213861648,0.057793577,0.042321469,8.339805023,0.747683929,0.996659727
366292_246-LP4-ITS-0746,2027,14.2,15.75,366294_246-LP4-16S-0746,708,5,5,W30.02.06,B,10,30,6,2,B10,7.755072774,5170.047223,3.82,16.01,1.31E+12,12.11850612,8.247095396,176642578.7,3.871410721,5.28864,1.201583573,0.095909166,0.016208879,0,0,6.349372777,86.39483825,92.8662069,266.0250302,5,5,708,1.504800608,0.648082346,0.585201982,1.450248104,0.624587862,0.568240997,9.141331162,0.965537814,0.998098922,#461141,#751c6d,15,14,2027,0.893508394,0.228700644,0.344087582,0.201027929,0.052799892,0.039553491,8.294985689,0.755110354,0.996624631
366292_250-LP4-ITS-0750,2393,18,24.33333333,366294_250-LP4-16S-0750,708,4,5,W30.01.14,F,10,30,14,1,F10,4.870803293,3247.201384,3.84,23.61,3.32E+11,11.52165187,7.787887391,61360288.23,3.733764478,3.69897,1.355516686,0.214657316,0.04338562,0,0,6.73956188,69.76252352,214.7531034,211.815445,5,4,708,0.978036679,0.421217471,0.332963989,0.87531674,0.43765837,0.32434903,8.63903629,0.912483758,0.996960554,#62185c,#751c6d,15,11,2393,0.834541496,0.213607593,0.343694328,0.068634905,0.019839937,0.011954612,8.249427808,0.734941501,0.996588307
366292_257-LP4-ITS-0757,2263,13.75,18.33333333,366294_257-LP4-16S-0757,653,5,4,W17.02.07,E,11,17,7,2,E11,6.418119093,4278.744992,3.67,14.02,1.09E+12,12.0367606,8.97219,937972271.8,3.064570601,6.76869,1.331820964,0.079906092,0.012035203,0,0.030081079,7.189664857,135.2307554,72.86068966,359.3245264,4,5,653,1.333768184,0.666884092,0.562493075,1.378270146,0.593588643,0.566177285,9.046208753,0.967411784,0.997998582,#ac8346,#fdc067,15,13,2263,0.883240692,0.226072543,0.341490253,0.176088426,0.047585811,0.034528837,8.293319472,0.744194539,0.996622365
366292_174-LP4-ITS-0674,2271,16.2,18,366294_174-LP4-16S-0674,678,4,4,W17.02.02,B,1,17,2,2,B01,7.078467567,4718.977198,3.54,11.9,4.88E+12,12.68816255,9.92774,8467203545,2.760422551,7.3067,1.605657995,0.10840929,0.00563115,0,0,6.894589028,134.472623,30.81931034,354.5758895,4,4,678,0.19493178,0.09746589,0.046929198,0.197902839,0.09895142,0.046606648,8.075073845,0.858580796,0.995963206,#47361d,#fdc067,16,15,2271,0.971122671,0.242780668,0.360019864,0.234008006,0.059896227,0.047394519,8.354781498,0.749367439,0.996673129
